i,dureeCalculPhoto,ratioTest,dureeCalculModel
1,1.2894816398620605,0.21052631578947367,8.359370708465576
2,1.3770956993103027,0.42105263157894735,6.469484090805054
3,1.3604788780212402,0.631578947368421,6.963866472244263
4,1.3366985321044922,0.631578947368421,7.012915849685669
5,1.4010255336761475,0.6842105263157895,7.071629762649536
6,1.408069372177124,0.7368421052631579,7.300739526748657
7,1.4406628608703613,0.7368421052631579,7.488492965698242
8,1.449188232421875,0.7894736842105263,7.5635082721710205
9,1.488440990447998,0.8421052631578947,7.859055042266846
10,1.4813365936279297,0.8421052631578947,8.051133394241333
11,1.5279481410980225,0.7894736842105263,8.191704511642456
12,1.552457571029663,0.7894736842105263,8.359777927398682
13,1.5763628482818604,0.8421052631578947,8.549039125442505
14,1.5942749977111816,0.8421052631578947,8.735243797302246
15,1.6163692474365234,0.8947368421052632,8.79060983657837
16,1.625138282775879,0.8947368421052632,9.011186838150024
17,1.7043659687042236,0.8947368421052632,9.295391082763672
18,1.6975066661834717,0.8947368421052632,9.485461235046387
19,1.753305196762085,0.8947368421052632,9.634909629821777
20,1.7440204620361328,0.8947368421052632,9.792236089706421
21,1.9283862113952637,0.8421052631578947,10.382921934127808
22,1.9128048419952393,0.8421052631578947,10.368825197219849
23,1.8421742916107178,0.8421052631578947,10.442550420761108
24,1.8414599895477295,0.8421052631578947,10.610200881958008
25,1.8730413913726807,0.9473684210526315,10.86586594581604
26,1.8883538246154785,0.8947368421052632,10.989376544952393
27,1.9286181926727295,0.8947368421052632,11.174288511276245
28,1.9138336181640625,0.8947368421052632,11.510111570358276
29,1.9762012958526611,0.8947368421052632,11.560406923294067
30,1.9761769771575928,0.8947368421052632,11.606033563613892
31,2.0419328212738037,0.9473684210526315,11.880841732025146
32,2.0341122150421143,0.9473684210526315,12.02644968032837
33,2.1284046173095703,0.9473684210526315,12.451729536056519
34,2.1039326190948486,0.8947368421052632,12.456705331802368
35,2.6092329025268555,0.8947368421052632,12.484089612960815
36,2.210449695587158,0.8947368421052632,13.011134624481201
37,2.235340118408203,0.8947368421052632,13.260516881942749
38,2.1469616889953613,0.8947368421052632,13.334925174713135
39,2.1696434020996094,0.8947368421052632,13.287545680999756
40,2.186795711517334,0.9473684210526315,13.352885007858276
41,2.337827444076538,0.9473684210526315,13.84035062789917
42,2.2722537517547607,0.8947368421052632,13.857401609420776
43,2.3642194271087646,0.8947368421052632,14.972940921783447
44,2.2719388008117676,0.8947368421052632,14.260711908340454
45,2.281991720199585,0.8947368421052632,14.430126428604126
46,2.3600046634674072,0.8947368421052632,15.206535816192627
47,2.3453073501586914,0.8947368421052632,15.004958629608154
48,2.3542726039886475,0.8947368421052632,15.02357029914856
49,2.404978036880493,0.8947368421052632,15.112486839294434
50,2.40082049369812,0.8947368421052632,15.210937976837158
51,2.4421768188476562,0.9473684210526315,15.519889116287231
52,2.49922513961792,0.9473684210526315,15.520424604415894
53,2.5550925731658936,0.9473684210526315,16.295266151428223
54,2.4978256225585938,0.9473684210526315,16.234379529953003
55,2.5128839015960693,0.9473684210526315,16.345142126083374
56,2.545973539352417,0.9473684210526315,16.2592134475708
57,2.596318483352661,0.9473684210526315,16.610827445983887
58,2.58583402633667,0.9473684210526315,16.531902551651
59,2.6057939529418945,0.9473684210526315,16.669002056121826
60,2.9920096397399902,0.9473684210526315,17.450190782546997
61,2.6495819091796875,0.9473684210526315,17.793885946273804
62,2.6847426891326904,0.9473684210526315,17.682926177978516
63,2.756199836730957,0.9473684210526315,17.459718704223633
64,2.730189800262451,0.9473684210526315,17.85159707069397
65,2.9880645275115967,0.9473684210526315,17.987979650497437
66,2.7783191204071045,1.0,18.019144296646118
67,2.818943500518799,1.0,18.10686230659485
